   0.80000000 -460.38530715 
   0.96842105 -460.65914059 
   1.13684211 -460.75027356 
   1.30526316 -460.76597094 
   1.47368421 -460.75121571 
   1.64210526 -460.72541504 
   1.81052632 -460.69710615 
   1.97894737 -460.66998219 
   2.14736842 -460.64553479 
   2.31578947 -460.62424404 
   2.48421053 -460.60610554 
   2.65263158 -460.59086055 
   2.82105263 -460.57816663 
   2.98947368 -460.56765483 
   3.15789474 -460.55899427 
   3.32631579 -460.55187879 
   3.49473684 -460.54605677 
   3.66315789 -460.54129470 
   3.83157895 -460.53739036 
   4.00000000 -460.53420436 
